id,city,country,month,name,series,state,year,date,cun,location_type,location_path,latitude,longitude
thailand_yahx,,Thailand,November,Thailand,yahx,,2017,2017-11-01,,country,Thailand,14.8971921,100.83273
the_hamptons_yah,,United States,March,The Hamptons,yah,New York,2013,2013-03-01,,state,"New York, United States",40.7127281,-74.0060152
thessaloniki_icon,Thessaloniki,Greece,January,Thessaloniki,icon,,2009,2009-01-01,Thessaloniki,city,"Thessaloniki, Greece",40.6403167,22.9352716
tianjin_icon,Tianjin,China,January,Tianjin,icon,,2008,2008-01-01,Tianjin,city,"Tianjin, China",39.3032619,117.4163641
tianjin_rlf,Tianjin,China,January,Tianjin Blue,rlf,,2014,2014-01-01,Tianjin,city,"Tianjin, China",39.3032619,117.4163641
tianjin_yah,Tianjin,China,June,Tianjin,yah,,2018,2018-06-01,Tianjin,city,"Tianjin, China",39.3032619,117.4163641
tokyo_icon,Tokyo,Japan,January,Tokyo,icon,,2009,2009-01-01,Tokyo,city,"Tokyo, Japan",35.6828387,139.7594549
toronto_bto,Toronto,Canada,August,Toronto,bto,Ontario,2018,2018-08-01,Toronto,city,"Toronto, Ontario, Canada",43.653963,-79.387207
toronto_bts,Toronto,Canada,May,Toronto,bts,Ontario,2018,2018-05-01,Toronto,city,"Toronto, Ontario, Canada",43.653963,-79.387207
toronto_icon,Toronto,Canada,January,Toronto,icon,Ontario,2009,2009-01-01,Toronto,city,"Toronto, Ontario, Canada",43.653963,-79.387207
toronto_yah,Toronto,Canada,April,Toronto,yah,Ontario,2013,2013-04-01,Toronto,city,"Toronto, Ontario, Canada",43.653963,-79.387207
toronto_yaho,Toronto,Canada,February,Toronto,yaho,Ontario,2017,2017-02-01,Toronto,city,"Toronto, Ontario, Canada",43.653963,-79.387207
toulouse_yah,Toulouse,France,October,Toulouse,yah,,2016,2016-10-01,Toulouse,city,"Toulouse, France",43.6044622,1.4442469
trinidad_&_tobago_bts,,Trinidad & Tobago,October,Trinidad & Tobago,bts,,2019,2019-10-01,,country,Trinidad & Tobago,10.8677845,-60.9821067
trinidad_&_tobago_icon,,Trinidad & Tobago,January,Trinidad & Tobago,icon,,2016,2016-01-01,,country,Trinidad & Tobago,10.8677845,-60.9821067
trondheim_icon,Trondheim,Norway,January,Trondheim,icon,,2014,2014-01-01,Trondheim,city,"Trondheim, Norway",63.4305658,10.3951929
tsingtao_yah,Tsingtao,China,September,Tsingtao,yah,,2017,2017-09-01,Qingdao,city,"Tsingtao, China",36.0634258,120.3785584
tulum_bts,Tulum,Mexico,August,Tulum,bts,Quintana Roo,2018,2018-08-01,Tulum,city,"Tulum, Quintana Roo, Mexico",20.2152358,-87.4295353143922
tulum_icon,Tulum,Mexico,January,Tulum,icon,Quintana Roo,2017,2017-01-01,Tulum,city,"Tulum, Quintana Roo, Mexico",20.2152358,-87.4295353143922
turkey_icon,,Turkey,January,Turkey,icon,,2009,2009-01-01,,country,Turkey,38.9597594,34.9249653
turkey_yah,,Turkey,December,Turkey,yah,,2018,2018-12-01,,country,Turkey,38.9597594,34.9249653
turkey_yaho,,Turkey,February,Turkey,yaho,,2019,2019-02-01,,country,Turkey,38.9597594,34.9249653
turks_and_caicos_bts,,Turks and Caicos,August,Turks & Caicos,bts,,2018,2018-08-01,,country,Turks and Caicos,21.7214683,-71.6201783
twin_cities_bts,,United States,March,Twin Cities,bts,Minnesota,2018,2018-03-01,,state,"Minnesota, United States",45.9896587,-94.6113288
twin_cities_icon,,United States,January,Twin Cities,icon,Minnesota,2009,2009-01-01,,state,"Minnesota, United States",45.9896587,-94.6113288
twin_cities_yah,,United States,April,Twin Cities,yah,Minnesota,2013,2013-04-01,,state,"Minnesota, United States",45.9896587,-94.6113288
tyumen_icon,Tyumen,Russia,January,Tyumen,icon,,2014,2014-01-01,Tyumen,city,"Tyumen, Russia",57.153534,65.542274
united_arab_emirates_icon,,United Arab Emirates,January,United Arab Emirates,icon,,2010,2010-01-01,,country,United Arab Emirates,24.0002488,53.9994829
united_arab_emirates_yah,,United Arab Emirates,September,United Arab Emirates,yah,,2018,2018-09-01,,country,United Arab Emirates,24.0002488,53.9994829
united_arab_emirates_yahx,,United Arab Emirates,October,United Arab Emirates,yahx,,2018,2018-10-01,,country,United Arab Emirates,24.0002488,53.9994829
universal_orlando_resort_bts,Orlando,United States,December,Universal Orlando Resort,bts,Florida,2018,2018-12-01,Orlando,special,"Orlando, Florida, United States",28.5421097,-81.3790388
universal_orlando_resort_yah,Orlando,United States,December,Universal Orlando Resort™,yah,Florida,2016,2016-12-01,Orlando,special,"Orlando, Florida, United States",28.5421097,-81.3790388
universal_studios_hollywood_bts,Universal City,United States,December,Universal Studios Hollywood,bts,California,2018,2018-12-01,Universal City,special,"Universal City, California, United States",34.1412926,-118.3584364
universal_studios_hollywood_yah,Universal City,United States,December,Universal Studios Hollywood™,yah,California,2016,2016-12-01,Universal City,special,"Universal City, California, United States",34.1412926,-118.3584364
uruguay_icon,,Uruguay,January,Uruguay,icon,,2018,2018-01-01,,country,Uruguay,-32.8755548,-56.0201525
