id,city,country,month,name,series,state,year,date,cun,location_type,location_path,latitude,longitude
san_diego_icon,San Diego,United States,January,San Diego,icon,California,2008,2008-01-01,San Diego,city,"San Diego, California, United States",32.7174209,-117.16277140000001
san_diego_yah,San Diego,United States,March,San Diego,yah,California,2013,2013-03-01,San Diego,city,"San Diego, California, United States",32.7174209,-117.16277140000001
san_diego_yaho,San Diego,United States,March,San Diego,yaho,California,2017,2017-03-01,San Diego,city,"San Diego, California, United States",32.7174209,-117.16277140000001
san_francisco_bto,San Francisco,United States,August,San Francisco,bto,California,2018,2018-08-01,San Francisco,city,"San Francisco, California, United States",37.779280799999995,-122.4192363
san_francisco_bts,San Francisco,United States,April,San Francisco,bts,California,2018,2018-04-01,San Francisco,city,"San Francisco, California, United States",37.779280799999995,-122.4192363
san_francisco_btx,San Francisco,United States,October,San Francisco,btx,California,2018,2018-10-01,San Francisco,city,"San Francisco, California, United States",37.779280799999995,-122.4192363
san_francisco_icon,San Francisco,United States,January,San Francisco,icon,California,2008,2008-01-01,San Francisco,city,"San Francisco, California, United States",37.779280799999995,-122.4192363
san_francisco_rlf,San Francisco,United States,January,San Francisco,rlf,California,2012,2012-01-01,San Francisco,city,"San Francisco, California, United States",37.779280799999995,-122.4192363
san_francisco_yah,San Francisco,United States,March,San Francisco,yah,California,2013,2013-03-01,San Francisco,city,"San Francisco, California, United States",37.779280799999995,-122.4192363
san_francisco_yaho,San Francisco,United States,August,San Francisco,yaho,California,2016,2016-08-01,San Francisco,city,"San Francisco, California, United States",37.779280799999995,-122.4192363
san_francisco_yahox,San Francisco,United States,November,San Francisco,yahox,California,2014,2014-11-01,San Francisco,city,"San Francisco, California, United States",37.779280799999995,-122.4192363
